timestamp,pid,process,cpu_delta_ms,total_cpu_ms
2026-02-23T04:20:05.019166800Z,696,typeperf.exe,47,109
2026-02-23T04:20:05.019166800Z,11112,dellpair.exe,16,1812
2026-02-23T04:20:05.019166800Z,23264,fvcontainer.exe,16,13312
2026-02-23T04:20:05.019166800Z,12748,uihost.exe,15,25515
2026-02-23T04:20:06.177598100Z,7004,explorer.exe,16,47187
2026-02-23T04:20:06.177598100Z,21080,wallpaper64.exe,16,87484
2026-02-23T04:20:06.177598100Z,3996,discord.exe,16,17078
2026-02-23T04:20:07.347822500Z,20920,nvidia overlay.exe,31,11484
2026-02-23T04:20:07.347822500Z,7004,explorer.exe,16,47203
2026-02-23T04:20:08.541361400Z,24456,wavessvc64.exe,46,52296
2026-02-23T04:20:08.541361400Z,7004,explorer.exe,31,47234
2026-02-23T04:20:08.541361400Z,14656,java.exe,16,21203
2026-02-23T04:20:08.541361400Z,37224,powershell.exe,16,31
2026-02-23T04:20:09.742530100Z,24456,wavessvc64.exe,141,52437
2026-02-23T04:20:09.742530100Z,11292,discord.exe,16,715562
2026-02-23T04:20:10.951518600Z,7004,explorer.exe,16,47250
2026-02-23T04:20:10.951518600Z,28184,steamwebhelper.exe,16,1375
2026-02-23T04:20:10.951518600Z,11292,discord.exe,16,715578
2026-02-23T04:20:10.951518600Z,23196,firefox.exe,15,37640
2026-02-23T04:20:12.118333100Z,11292,discord.exe,31,715609
2026-02-23T04:20:12.118333100Z,7004,explorer.exe,15,47265
2026-02-23T04:20:13.438789900Z,11292,discord.exe,62,715671
2026-02-23T04:20:13.438789900Z,7004,explorer.exe,16,47281
2026-02-23T04:20:13.438789900Z,3492,windowsterminal.exe,15,3468
2026-02-23T04:20:13.438789900Z,14656,java.exe,15,21218
2026-02-23T04:20:13.438789900Z,32232,nsys.exe,15,15
2026-02-23T04:20:14.696345100Z,7004,explorer.exe,78,47359
2026-02-23T04:20:14.696345100Z,37684,nsys.exe,62,62
2026-02-23T04:20:14.696345100Z,24456,wavessvc64.exe,31,52468
2026-02-23T04:20:14.696345100Z,23264,fvcontainer.exe,16,13328
2026-02-23T04:20:14.696345100Z,33548,java.exe,16,1828
2026-02-23T04:20:14.696345100Z,23196,firefox.exe,16,37656
2026-02-23T04:20:14.696345100Z,24452,cursor.exe,15,17265
2026-02-23T04:20:15.968555900Z,37684,nsys.exe,266,328
2026-02-23T04:20:15.968555900Z,24456,wavessvc64.exe,78,52546
2026-02-23T04:20:15.968555900Z,11292,discord.exe,32,715703
2026-02-23T04:20:15.968555900Z,7004,explorer.exe,16,47375
2026-02-23T04:20:15.968555900Z,28204,steamwebhelper.exe,16,11906
2026-02-23T04:20:15.968555900Z,21080,wallpaper64.exe,16,87500
2026-02-23T04:20:17.323089400Z,11292,discord.exe,718,716421
2026-02-23T04:20:17.323089400Z,3492,windowsterminal.exe,94,3562
2026-02-23T04:20:17.323089400Z,28204,steamwebhelper.exe,31,11937
2026-02-23T04:20:17.323089400Z,6228,taskhostw.exe,16,1203
2026-02-23T04:20:17.323089400Z,22908,powertoys.peek.ui.exe,16,2250
2026-02-23T04:20:17.323089400Z,21756,discord.exe,16,4031
2026-02-23T04:20:17.323089400Z,7004,explorer.exe,15,47390
2026-02-23T04:20:17.323089400Z,21080,wallpaper64.exe,15,87515
2026-02-23T04:20:17.323089400Z,23196,firefox.exe,15,37671
2026-02-23T04:20:17.323089400Z,37684,nsys.exe,15,343
2026-02-23T04:20:18.548538Z,11292,discord.exe,32,716453
2026-02-23T04:20:18.548538Z,7004,explorer.exe,31,47421
2026-02-23T04:20:18.548538Z,696,typeperf.exe,31,140
2026-02-23T04:20:18.548538Z,24456,wavessvc64.exe,16,52562
2026-02-23T04:20:18.548538Z,28204,steamwebhelper.exe,16,11953
2026-02-23T04:20:18.548538Z,3492,windowsterminal.exe,16,3578
2026-02-23T04:20:18.548538Z,14656,java.exe,16,21234
2026-02-23T04:20:18.548538Z,23264,fvcontainer.exe,15,13343
2026-02-23T04:20:19.765848Z,11292,discord.exe,78,716531
